arabic,english
منطقة القبائل جزء من الجزائر.,Kabylie is part of Algeria.
منطقة القبائل ليست لديها حدود رسمية.,Kabylie has no official borders.
أيدار هو مواطن كازاخي.,Aydar is a Kazakhstani citizen.
اكثر من نصف سكان العالم يعيشون فى المدن,More than half the world’s population lives in cities.
أنا فلسطيني.,I am Palestinian.
أنا أحب هارفارد.,I love Harvard.
"ألمانيا تُسَمّى ""لالْمَانْ"" بالأمازيغية.","Germany is called ""Lalman"" in Berber."
ريماس هي مواطنة عراقية.,Rimas is an Iraqi citizen.
أنا مواطن عراقي.,I am an Iraqi citizen.
هل تستطيع تكلم التركمانية؟,Can you speak Turkmen?
أنا أتعلم التركمانية.,I'm learning Turkmen.
أريد أن أَدْرُسَ التركمانية.,I want to study Turkmen.
هل يتكلم الكردية؟,Does he speak Kurdish?
إلى ماذا تنظر؟,What're you looking at?
الوقت ينفذ.,Time is running out.
الوقت يمضي.,Time is running out.
إني أكتب مقالا.,I am writing an article.
إني أكتب مقالا.,I'm writing an article.
إنّي أترجم مقالا.,I am translating an article.
إنّي أترجم مقالا.,I'm translating an article.
ويكيبيديا هي أفضل موسوعة على الإنترنت.,Wikipedia is the best encyclopedia on the Internet.
"قتل امرء واحد جريمة لا تغتفر و إبادة شعب كامل مسألة فيها نظر,",One death is a tragedy. A million deaths is a statistic.
الجزائر هي أكبر بلد في إفريقيا.,Algeria is the largest country in Africa.
القطه تاكل.,The cat eats.
اعثر علي القطه,Find the cat.
هو يقرأ العربيه.,He reads Arabic.
هو يتحدث العربيه.,He speaks Arabic.
هو يكتب العربيه.,He writes Arabic.
هو يدرس العربيه.,He teaches Arabic.
نحن ندرس العربي,We study Arabic.
نحن ندرس العربي,You teach Arabic.
الغه العربيه صعبه,Arabic is difficult!
العربيه صعبه,Arabic is difficult!
نحن عرب,We are Arabic.
نحن نتعلم العربي,We learn Arabic.
نحن نتعلم العربيه,We learn Arabic.
هي تتحدث العربيه,She speaks Arabic.
فاضيل يفهم العربيه,Fadil understands Arabic.
فاضيل يتحدث العربيه,Fadil speaks Arabic.
فاضيل عربي,Fadil is Arab.
سامي يتحدث العربيه,Sami speaks Arabic.
سامي يحب العربي,Sami loved Arabic.
سامي تعلم العربيه,Sami learned Arabic.
هو يعلم العربيه,He is teaching Arabic.
نحن نتعلم العربيه,We are learning Arabic.
هل تستطيع قرائه العربي؟,Can you read Arabic?
هل انتا عربي؟,Are you an Arab?
انتا تتعلم العربي,You are learning Arabic.
انا اتعلم العربي,I am learning Arabic.
العربيه غير معقده,Arabic isn't complicated.
العربيه ليس صعبه,Arabic isn't hard.
بعض العرب مسيحيين,Some Arabs are Christians.
نحن معرضون للخطاء,We are liable to err.
اعتقد ان توم يفهم الان,I think Tom now understands.
هذه المحادثه سيتم تسجيلها,This conversation is going to be recorded.
ماري اقنعت توم بالذهاب معها الي بوسطن,Mary convinced Tom to go to Boston with her.
قام توم بعمل ما قد قال انه سيفعله حقا,Tom actually did what he said he'd do.
هل تعتقد بان ماري تريد ان تفعل هذا بنفسها,Do you think Mary really wanted to do that by herself?
سئلت توم اذا كان سيذهب ايضا,"I asked Tom if he'd go, too."
اعمل انك لن تفعل هذا,I know that you didn't do that.
سامي كان جزء من kkk,Sami was a part of the KKK.
سامي يريد يريد التائكد (انها / انه ) تعمل,Sami wanted to make sure it really worked.
أين أقرب محطة قطار؟,Where's the closest train station?
فليبارك الله الجزائر.,God bless Algeria.
فارس الظلام فيلم جيد.,The Dark Knight is a good movie.
من رئيس هذه الشركة؟,Who's the boss of this company?
من يرأس هذه الشركة؟,Who's the boss of this company?
انا اتعلم العربي,I'm learning Arabic.
أتعلم العربية.,I am learning Arabic.
أتعلم العربية.,I'm learning Arabic.
هذا كل ما لدي,That is all I have.
كل ما لدي هو الكتب,All I have is books.
هؤلاء كل ما لدي,These are all I have.
هذا كل ما املك,It's all I have.
هذا كل ما لدي,This is all I have.
لدي كل البوماتك,I have all your albums.
اللغتان الرسميتان في الجزائر هما العربية و الأمازيغية.,The official languages of Algeria are Arabic and Berber.
الأمازيغية هي لغتي الأم.,Berber is my mother tongue.
ما هو قياسك؟,What's your size?
لقد زرت الجزائر.,I visited Algeria.
مرحبا بكم في الجزائر.,Welcome to Algeria.
مرحبا بك في الجزائر.,Welcome to Algeria.
مرحبا بكنّ في الجزائر.,Welcome to Algeria.
إن الجزائر تتغيّر.,Algeria is changing.
الجزائر تملك النفط.,Algeria has oil.
الجزائر تملك البترول.,Algeria has oil.
الجزائر تصنّع الأسلحة.,Algeria manufactures arms.
الجزائر بحاجة إلى الفلاحة.,Algeria needs agriculture.
الجزائر بحاجة إلى الزراعة.,Algeria needs agriculture.
الجزائر بلد شاسع.,Algeria is huge.
هل ستتغيّر الجزائر؟,Will Algeria change?
الجزائر هائمة إلى المجهول.,Algeria is adrift.
وافقت على كتابة تلك الرسالة.,I agreed to write that letter.
أخبرني توم أن ماري في السجن,Tom told me Mary is in jail.
هو يغسل سيارته.,He is washing his car.
منزله مملوء بالذباب.,His house is full of flies.
أعطني نصف كيلو من التفاح.,Give me half a kilo of apples.
لديه كلب .,He has a dog.
ألا يمكنك البقاء أطول قليلاً؟,Can't you stay a little longer?
اللغة اليديشية تُكتَب بالأبجديّة العبريّة.,Yiddish is written with the Hebrew alphabet.
ليلة سعيدة.,Goodnight.
ليلة سعيدة.,Good night.
ليلة سعيدة!,Goodnight!
ليلة سعيدة يا أُمّي.,"Good night, Mom."
لا أحد يعرف.,No one knows.
كانت سعيدة حقّا.,She was truly happy.
حسناً.,Alright.
مستحيل.,Impossible.
لقد وصلنا.,We have arrived.
نعم.,Yep.
بالتأكيد,Obviously.
لم يذهب فاضل بعيدا.,Fadil didn't get far.
أنا أشعر بالعطش.,I'm thirsty.
كَم الساعة؟,What's the time?
سأرجع حالا !,I'll be right back.
كيف تعرف أن توم وماري لا يكذبون؟,How do you know Tom and Mary aren't lying?
لسوء الحظ ، لقد كنت مشغولا بالأمس ولم استطع فعل ذلك.,"Unfortunately, I was busy yesterday and couldn't do that."
بنيامين ذئب مفترس ، في الصباح يأكل الفريسة ، وفي المساء يقسم الغنيمة.,"Benjamin a ravenous wolf, in the morning shall eat the prey, and in the evening shall divide the spoil."
ألقى توم مخفوق الحليب على نايجل فاراج,Tom threw a milkshake at Nigel Farage.
هل على المملكة المتحدة البقاء كعضو في الاتحاد الأوروبي أو مغادرة الاتحاد الأوروبي؟,Should the United Kingdom remain a member of the European Union or leave the European Union?
فَأَسْقَيْنَاكُمُوهُ.,And we gave it to you to drink.
توم قارئ جيد.,Tom is a good reader.
لا تَبكي في العَلن.,Don't cry in public.
علينا جميعا أن نذهب.,All of us should go.
أنا مَدين لتوم بإعتذار.,I owe Tom an apology.
هذا شَيء إشتَريته لَك.,This is something I bought for you.
أكل الكثير من الأرز.,I eat a lot of rice.
خوفي من ارتكاب خطأ آخر يشل تقدمي.,My fear of making another mistake is crippling my progress.
سيهرب توم.,Tom will escape.
الفَتاة جَميلة.,The girl is beautiful.
كم عدد المدارس في مدينتك؟,How many schools are there in your city?
كم مِن مدارسة في مدينتك؟,How many schools are there in your city?
أنجبت ولدا.,She gave birth to a son.
كن ايجابي,Stay positive.
هذه المرة الأولى أكون هنا,This is the first time that I've been here.
ممكن أرقص هنا؟,Can I dance here?
أين هذا؟,Where is this?
سامي يتصل بك.,Sami is calling you.
لا أعرفه.,I am not acquainted with him.
كان فمي جاف.,My mouth was dry.
أريد أن أشتري هدية لك.,I want to buy a gift for you.
أنا سألت توم بعض الأسئلة.,I asked Tom a few questions.
هل تريد مني أن أتوقف؟,Do you want me to quit?
متى عدت إلى الجزائر؟,When did you return to Algeria?
هي عملت.,She worked.
سأذاكر.,I'm going to study.
لازم أنام.,I have to go to sleep.
لأنني أحبك.,Because I love you.
لدي الكثير من الأسئلة.,I've got a lot of questions.
لديهم بنتان.,They have two daughters.
أنا في أستراليا الآن.,I'm in Australia right now.
الشطائر كانت شهية.,The sandwiches were delicious.
شاهدت ذلك الفيديو ثلاث مرات.,I've watched that video three times.
قال انه كان متعب جداََ.,He said that he was really tired.
هل تحب الذهاب إلى السينما؟,Do you like going to the theater?
اشتريت سيارة.,I bought a car.
لا يستطيعون أن يقتلونا.,They can't kill us.
قل أنك تحبني.,Say that you love me.
سنحتاج مساعدتك.,We'll be needing your help.
جلس وشرب قهوته.,He sat and drank his coffee.
أتمنى أن أرى.,I wish to see.
سامي يعرف حدوده.,Sami knows his limits.
سامي في العمل.,Sami is at work.
كان سامي بمثابة دونلد ترامب في مصر.,Sami was the Donald Trump of Egypt.
كان سامي دونالد ترامب مصر.,Sami was the Donald Trump of Egypt.
شاهد سامي بعض فيديوهات ليلى.,Sami watched some of Layla's videos.
كان سامي يريد أن يلتقط مثالية.,Sami wanted to take perfect pictures.
كان سامي مديرا في شركة والمارت.,Sami was a manager at Walmart.
نظر سامي إلى باب العلّيّة.,Sami stared at the attic door.
كان سامي نجما في فريق كرة السلة لجامعة كاليفورنيا بلوس أنجلس.,Sami was a UCLA basketball star.
سامي أفضل من فريد.,Sami is better than Farid.
كان سامي يدفع العربة.,Sami was pushing the cart.
تعرّف سامي على ليلى في الصّيف الماضي.,Sami met Layla last summer.
كان سامي في المرحاض.,Sami was in the toilet.
سامي يتّصل بالشّرطة.,Sami is calling the cops.
تولّى سامي الشّؤون الماليّة.,Sami took over the finances.
كنّا نتشاجر أنا و ليلى.,Layla and me were arguing.
سامي في سوق والمارت.,Sami is at Walmart.
كان سامي ملاكا.,Sami was an angel.
قام سامي بتعطيل الآلة غسيل الأواني.,Sami ruined the dishwasher.
سامي يريد التراجع عن قوله.,Sami wants to recant.
دلّل سامي صديقته.,Sami spoilt his girlfriend.
فاضل وحيد مجدّدا.,Fadil is alone again.
ثمل سامي بعض شاء.,Sami got tipsy.
للانتقام عواقب.,Revenge has consequences.
سامي يهتم.,Sami cares.
ذهب سامي لإحضار دواء جدّه.,Sami went to get his grandfather's medicine.
قال سامي أنّ منزله كان مسكونا.,Sami said his house was haunted.
سامي يعير البال.,Sami cares.
أثّر إدمان سامي على حياة ليلى.,Sami's addiction affected Layla's life.
لم أعد أبالي.,I didn't care anymore.
استمع سامي إلينا.,Sami listened to us.
هذا الكلب ذكي جدّا.,This dog is very clever.
هذا الكلب ذكي جدّا.,This dog is very smart.
أصبح منزل سامي مسكونا.,Sami's house became haunted.
أنا أتصرّف كالبلهاء.,I'm acting like an idiot.
أنا أتصرّف كالبلهاء.,I am acting like an idiot.
أنا أتصرّف كالأبله.,I'm acting like an idiot.
سامي يلبس خاتمه.,Sami is wearing his ring.
توم أفضل مما تعتقد في الفرنسية,Tom is better at French than you might think.
انها فكرة رائعة.,That's a terrific idea.
انت بحاجة للانتظار.,You need to wait.
انت بحاجة للتوقف عن التدخين .,You need to stop smoking.
الحب هو كل ما تحتاجه .,Love is all you need.
انت بحاجة أن تدرس أكثر,You need to study more.
انت بحاجة لأكل ألياف أكثر.,You need to eat more fiber.
اعتقد انك بحاجة الى النوم قليلاً,I thought you needed some sleep.
خذ كل الوقت الذي تحتاجه .,Take all the time you need.
انت بحاجة لأحذ استراحة .,You need to take a break.
هل تحتاج أية مساعدة ؟ يارفيقي .,"Do you need any help, buddy?"
كم نسخة تحتاج.,How many copies do you need?
أن كنت ستبدأ عملاً جديداً فأنت بحاجة لخطة عمل .,"If you're going to start a new business, you need a business plan."
أعلم لماذا لا تريد القيام بذلك.,I know why you don't want to do that.
لم لم تقل ذلك مسبّقا؟,Why didn't you just say that before?
لم أعرت مالا لشخص مثلها؟,Why did you lend money to someone like her?
لم تريد تعلّم الإنجليزيّة؟,Why do you want to learn English?
أريد أن أعرف السّبب.,I'd like to know the reason why.
ما سبب إعجابهم به؟,Why do they like it?
لم قلت ذلك؟,Why did you say that?
لم أختي سيّئة إلى هذا الحد؟,Why is my sister so mean?
لنتحدث عن سبب وجودك هنا.,Let's talk about why you're here.
لم لم يكن بوسعك إخباره؟,Why couldn't you tell him?
لم لا تثق بهم؟,Why don't you trust them?
لم تصدر كلّ هذا الضّجيج؟,Why are you being so noisy?
لم لم تردّ على رسالتي الهاتفيّة؟,Why didn't you text me back?
لا نعلم كيف أو لماذا.,We don't know how or why.
لم تركت وظيفتك؟,Why did you quit your job?
لم لم تنتقل بعد؟,Why aren't you moving yet?
لم لا تخبرها أنت بنفسك؟,Why don't you tell her yourself?
لم لا تريد هذا؟,Why don't you want this?
لم لم تقفل الباب؟,Why didn't you lock the door?
لم لا تذهب و تنضمّ إليهم؟,Why don't you go and join them?
أتساءل لم يعد أحد يقوم بذلك.,I wonder why nobody does that anymore.
لم لا نقوم بذلك للتّو؟,Why don't we do that right now?
لم تظنّ أنّي خائف منك؟,Why do you think I'm scared of you?
لم لا تبقي عيناك مفتوحتان؟,Why don't you keep your eyes open?
لم تكره الكنديّين إلى هذه الدّرجة؟,Why do you hate Canadians so much?
لم لا تسترخ قليلا؟,Why don't you to relax a bit?
لم لم تحاول الاتّصال بنا؟,Why didn't you try calling us?
لم تأخذ كلّ هذا الوقت؟,Why are you taking so long?
لم ذهبت إلى هناك بدوني؟,Why did you go there without me?
سألت لم كان عليه أن يقوم بذلك.,I asked why he was required to do that.
لم ستصدّيقنه؟,Why would you believe him?
لم الإستسلام الآن؟,Why quit now?
لم انفصلتِ عن صديقكِ الأخير؟,Why did you break up with your last boyfriend?
لم اخترتني؟,Why did you choose me?
لم تخبرها؟,Why would you tell her that?
لم تطلعها؟,Why would you tell her that?
لم بقي في ألمانيا؟,Why did he remain in Germany?
لم لم تلحق بهم؟,Why didn't you go after them?
لم أقول شيئا؟,Why would I say anything?
لم يخافها النّاس؟,Why are people scared of her?
في الحقيقة، هذا هو سبب وجودي هنا.,"Actually, that's why I'm here."
لا أعلم لم فعلت ذلك.,I don't know why I just did that.
لم تقبّل تلك البقرة السّمينة؟,Why are you kissing that fat cow?
ظننت أنّك اتّصلت بي من أجل ذلك.,I assumed that was why you called me.
تساءل سامي عن سبب وجود ليلى هناك.,Sami wondered why Layla was there.
لم لا يُسمح لنا بالقيام بذلك؟,Why are we not allowed to do that?
لماذا لا يُسمح لنا بالقيام بذلك؟,Why are we not allowed to do that?
لماذا ينقل الماء الكهرباء؟,Why does water conduct electricity?
لم أنت هنا يا جمال؟,"Why are you here, Jamal?"
ما سبب وجودك هنا يا جمال؟,"Why are you here, Jamal?"
لم تقول هذا يا أخي؟,"Why do you say these things, brother?"
لم تنام في مكان كهذا؟,Why are you sleeping in a place like this?
لماذا هرب أبي من أمّي؟,Why did father run away from mother?
لم لم تقم بذلك كما عرضت الأمر عليك؟,Why didn't you do that the way I suggested?
لم لم تقم بذلك وفقا لاقتراحي؟,Why didn't you do that the way I suggested?
لم تخبر عن سبب ذهابها.,She didn't say why she went.
لم بقيت؟,Why did you stay?
لم سنحتاج للمزيد من المال؟,Why should we need more money?
لماذا لا ينام؟,Why isn't he sleeping?
لم هو مستيقظ؟,Why isn't he sleeping?
لم أنت مبتهج لهذه الدّرجة؟,Why are you so amused?
يظل سبب انتحاره لغزا.,Why he killed himself is still a mystery.
يبقى سبب انتحاره لغزا.,Why he killed himself is still a mystery.
أخبرني لم لا تحبّها.,Tell me why you don't like her.
لم حدث ذلك؟,Why did it happen?
لقد كَلَّفَ نفسه الكثير من أجل انقاذها.,He did his best to rescue her.
لقد قام بما في وسعه لانقاذها.,He did his best to rescue her.
لا يبدو على علم بسوء التفاهم الذي بيني وبين أبي.,He seems not to be aware of the conflict between my father and me.
تعال الى هنا من فضلك.,Please come here.
فكر فيما قلته لك.,Think about what I said to you.
لم حدث ذلك؟,Why did that happen?
هل تتذكر؟,Do you remember?
تعلم لم أنا لست مضطرّا للقيام بهذا، أليس كذلك؟,"You know why I don't have to do that, don't you?"
لا أعلم لم ينبغي أن نقوم بذلك.,I don't know why we have to do that.
لم لا تقبل بذلك؟,Why don't you accept that?
لم تعتقد أنّه يجب أن تقوم بذلك؟,Why do you think you have to do that?
لم لم تقبل؟,Why didn't you say yes?
لم لم توافق؟,Why didn't you say yes?
لم لم تقل نعم؟,Why didn't you say yes?
لم تكذب من أجلها؟,Why do you lie for her?
نعلم لم قمت بذلك.,We know why you did that.
لا أريد أن أخبرهم عن سبب تأخّري.,I don't want to tell them why I'm late.
لم نحتاج للبحث عنه؟,Why do we need to find them?
لا نعلم لم اضطرّ للمغادرة.,We don't know why he had to leave.
لم تفعل ذلك؟,Why is she doing this?
لا تحتاج لمعرفة السّبب.,You don't need to know why.
لم كلّ هذا؟,Why all this?
ما أهمّيته حتّى؟,Why is this even a thing?
لم هذا مهمّ حتّى؟,Why is this even a thing?
لم لم تخبر أحدا؟,Why didn't you tell anyone?
لم تريد مجيء معي؟,Why do you want to come with me?
لم لا تستسلم إذا؟,So why don't you just give up?
هي مريضة. هذا هو سبب غيابها.,She's sick. That's why she didn't come.
لم لا نقوم بهذا سويّا.,Why don't you and I do that together?
لم لا تبدأ من البداية؟,Why don't you just start at the beginning?
لم نختبئ؟,Why are we hiding?
لم يكره الفرنسيّين لهذه الدّرجة؟,Why does he hate the French so much?
لم يبدو هذا الإسم مألوفا؟,Why does that name sound familiar?
لم عصيت أمري؟,Why did you disobey my order?
لم لا تحاول إصلاحه؟,Why don't you try to fix it?
لم يتبضّع المرأ هناك حتّى؟,Why shop there anyway?
لم يتصافح النّاس؟,Why do people shake hands?
لم تتدخّل دائما؟,Why do you constantly have to get involved?
لم تصدّقها؟,Why do you believe her?
لم أنت متوتّر لهذه الدّرجة؟,Why are you so uptight?
أريد أن أعرف لم كنت مضطرّا للقيام بذلك.,I want to know why I needed to do that.
لم لم يحذّرني أحد؟,Why didn't anyone warn me?
لم ترتدي ذلك الوشاح؟,Why are you wearing that scarf?
لم لا تقول له ذلك؟,Why don't you tell him that?
لا أجد سببا لمساعدتها.,I don't see why I should help her.
لم لا يمكنني مغادرة غرفتي؟,Why can't I have my own room?
لم لم تتّصل بي مسبّقا؟,Why didn't you call me earlier?
لم لم تتّصلوا بي مسبّقا؟,Why didn't you call me earlier?
لم لم تتّصلن بي مسبّقا؟,Why didn't you call me earlier?
لم هم غاضبين؟,Why are they angry?
ما سبب غضبهم؟,Why are they angry?
ما سبب غضبهن؟,Why are they angry?
لم هنّ غاضبات؟,Why are they angry?
لم أنت أناني لهذه الدّرجة؟,Why are you so selfish?
لم لا يفعلون شيئا؟,Why don't they do something?
لم تزوّجتي منه؟,Why did you marry him?
لم تقول ذلك لي؟,Why are you saying that to me?
لا أعلم لم تمّ فصلي.,I don't know why I was fired.
لم نتوقّف عند قبلة فقط؟,Why stop at a kiss?
لم هذا مهم؟,Why is this such a big deal?
لم لا يقول النّاس ما يعنونه حقّا؟,Why don't people say what they mean?
لم لا نفعل ذلك؟,Why wouldn't we do that?
لم لا نقوم بذلك؟,Why wouldn't we do that?
لم أنا موجود؟,Why do I exist?
لم لن تكون هنا غدا؟,Why won't you be here tomorrow?
هو صادق و لهذا أحبّه.,He is honest. That's why I like him.
لهذا تركت وظيفتي.,This is why I quit the job.
هذا هو سبب تركي لوظيفتي.,This is why I quit the job.
لم أنت واقف؟,Why are you standing?
لم يستمعون لييدير؟,Why do they listen to Yidir?
لم لا تفعل ذلك بنفسك؟,Why don't you do that by yourself?
لم سألتني؟,Why did you ask me?
لم لا تحصل على وظيفة حقيقية؟,Why don't you get a real job?
لم تريدين المغادرة اليوم؟,Why do you want to leave today?
لم أنت تبكي؟,Then why are you crying?
لم أنتِ تبكين؟,Then why are you crying?
لم تبكي؟,Then why are you crying?
لم تبكين؟,Then why are you crying?
أين وضعت ذلك الشّيء؟,Where did I put that thingie?
من أين قمت بخياطة هذه البدلة؟,Where did you have your suit made?
أين هي أدوات الأكل؟,Where is the cutlery?
أين أنتِ ذاهبة في هذه العجالة أيّتها الفتاة؟,"Where are you going in such a hurry, girl?"
أين تنوي قضاء عطلتك؟,Where do you intend to spend your vacation?
إلى أين ذهبت نهاية الأسبوع الماضي؟,Where did you go last weekend?
لا أعلم إلى أين أنظر.,I don't know where I should look.
سامي يعرف أين هو عاقبه.,Sami knows where his heel is.
من أين حصلت على هذا الماء؟,Where did he get that water?
لا أعتقد أنّني أعرف هذا المكان.,I don't believe I know where that is.
كان في المكان الذي قلت لي سيكون.,It was where you told me it would be.
لا أتذكّر أين وضعت مفاتيحي.,I don't remember exactly where I put the keys.
كيف عرفت مكان تواجدي؟,How did she know where to find me?
لم أعلم إلى أين أذهب أو ما أفعله.,"I didn't know where to go, or what to do."
من أين اشتريت تلك القبّعة؟,Where did you buy that hat?
من أين تشتري ملابسا؟,Where do you buy clothes?
أين تتناول الغذاء؟,Where do you have lunch?
أين ستكون في الأوّل من جانفي 2016؟,"Where will you be on January 1st, 2016?"
ما هو أفضل مكان يمكن شراء اللّحم منه؟,Where's the best place to buy meat?
لا أعلم من أين أتى هذا.,I don't know where this came from.
لا أعلم إلى أين ذهبت.,I want to know where she went.
أين هي السّفارة الجزائريّة؟,Where is the Algerian embassy?
من أين يأتي الصّبيان؟,Where do babies come from?
أخبرتها إلى أين سنذهب.,I told her where we'd gone.
أين هي المخبزة؟,Where is there a bakery?
أين سأعيش؟,Where will I live?
أين يعيش الشّيطان؟,Where does the devil live?
من أين سأحصل على تذكارتي للطّيران؟,Where can I pick up my airplane ticket?
"أين أنت؟ ""أنا هنا!""","Where are you? ""I'm here!"""
"أين تتألّم؟ ""في كلّ مكان.""","Where does it hurt? ""Everywhere."""
أين كنت في 2003؟,Where were you in 2003?
أحتاج لتقول لي أين أذهب.,I need you to tell me where to go.
من أين حصل على هذا؟,Where did he get this stuff?
أين هو المرحاض، من فضلك؟,"Where are the toilets, please?"
قف مكانك!,Stand where you are!
أتعلم أين هي محطّة الشّرطة؟,Do you know where the police station is?
أين تختبؤون يا رفاق؟,"Where are you hiding, guys?"
أين يمكنني أن أشتري الحرير؟,Where can I buy silk?
إلى أين ستذهب؟,Where else are you going to go?
اكتشف سامي أين كانت تسكن ليلى.,Sami found out where Layla lived.
لم يخبر عن مكان تواجده.,He didn't mention where he'd been.
لم أشأ أن يعلم أحدا أين كنت.,I didn't want anybody to know where I was.
لم يكن يعلم أين كانت سيّارته.,He didn't know where his car was.
أين هي لوري؟,Where is Laurie?
أين تعلّم الكتابة؟,Where did he learn to write?
أين سنذهب؟,Where will we go?
أحتاج لدواء. أين هي الصّيدليّة؟,I need medicine. Where is the pharmacy?
لم تكن تعلم أين كانت.,She didn't know where she was.
سآخذك إلى مكان آمن.,I'm going to take you where you'll be safe.
سآخذك إلى مكان ستكون فيه في أمان.,I'm going to take you where you'll be safe.
أين تقترح أن نذهب؟,Where would you suggest we go?
من أين تحصل على المال؟,Where are you getting the money from?
من أين اقتنيت ذلك المعطف؟,Where did you buy that coat?
من أين اشتريت ذلك المعطف؟,Where did you buy that coat?
لنجلس أين يوجد ظل.,Let's sit where there is some shade.
من أين حصل على هذه الكنزة؟,Where did he get that sweater?
لم تذكر إلى أين ذهبت.,She didn't mention where she'd been.
من أين حصل على هذا الحداء الغريب؟,Where did he get those strange-looking shoes?
أين قرأ هذا؟,Where did he read that?
أين تريدني أن أجلس؟,Where do you want me to sit?
من أين ابتكر هذا؟,Where did he come up with that stuff?
لا يهمّ من أين أتى.,It doesn't matter from where he comes.
ليست لدي أدنى فكرة عن مكان إقامتها.,I have no idea where she lives.
أين هي نعالي؟,Where are my slippers?
أين هي السّفارة الألمانيّة؟,Where is the German embassy?
لقد كذب سامي.,Sami lied.
لقد تغيّر سامي.,Sami changed.
لقد لاحظ سامي ذلك.,Sami noticed.
لقد لعب سامي.,Sami played.
سامي يشرب.,Sami drinks.
ركن سامي سيّارته.,Sami parked.
كان سامي يوشي.,Sami snitched.
أبتسم سامي بسخريّة.,Sami smirked.
بكي سامي.,Sami wept.
هقهق سامي.,Sami giggled.
نجح سامي.,Sami succeeded.
اغتسل سامي.,Sami washed.
غادرت ليلى سامي.,Layla left Sami.
سامي يدرّس العربيّة في مصر.,Sami teaches Arabic in Egypt.
حضر توم للمدرسة بالسيارة,Tom comes to school by car.
لم كان يحدث ذلك؟,Why was that happening?
سامي يدرّس اللّغة العربيّة في مصر.,Sami teaches Arabic in Egypt.
لا تنس إعادة الكتاب إلى المكتبة.,Don't forget to return the book to the library.
انسى أمري.,Forget about me.
انسى ما قلته بالأمس.,Forget what I said yesterday.
لن أنس المرّة الأولى التي خرجنا فيها.,I'll never forget our first date.
هم لا ينسون أبدا دفع إيجارهم.,They never forget to pay their rent.
أخبرني أنّه كثير النّسيان.,He told me that he was forgetful.
لن أنس أبدا ما حدث.,I'll never forget what happened.
لننسى الأمر.,Let's forget that.
لا تنس أن تعدّ الحاضرين.,Don't forget to count how many people attend.
"لا تنس استعمال عبارات ""من فضلك"" و ""شكرا"".","Don't forget to say ""please"" and ""thank you""."
ألم تنس شيئا؟,Aren't you forgetting something?
لن أنس هذه التّجربة أبدا.,I'll never forget this experience.
أتعلم ماذا؟ انس الأمر! سأقوم به بنفسي.,You know what? Forget it! I'll just do it myself.
لا يمكنني نسيان ذلك الفيلم السّخيف.,I can't forget about that stupid movie.
هي دائما ما تنسى رقم هاتفي.,She always forgets my telephone number.
لا أريد أن أنسى هذه اللّحظة.,I don't want to forget this moment.
لا تنس الاتصال بأمّك.,Don't forget to call your mom.
لن ننساهم أبدا.,We'll never ever forget them.
لا تنس القيام بواجاتك، اتّفقنا؟,"Don't forget to do your homework, OK?"
لا تنس أن تضيف قليلا من الملح.,Don't forget to add a little salt.
ستنساني في نهاية المطاف.,You'll eventually forget me.
لن أنس ذلك الحفل ما دمت حيّا.,I shan't forget that feast as long as I live.
فقط انس الأمر.,Just forget it.
لن أنس جوابها أبدا.,I will never forget her answer.
أنا أنسى أين أضع قبّعتي.,I forget where I put my hat.
هل نسيت إقفال الباب اللّيلة الماضية؟,Did you forget to lock the door last night?
لن أنس ألمانيا أبدا.,I will never forget Germany.
سيضطرّ لنسيانك.,He'll have to forget about you.
أريد أن أنسى الأمر.,I want to forget about it.
لا تنس إقفال الأبواب عند مغادرتك.,Don't forget to lock up when you leave.
ذكّرني بأخذ جواز سفري.,He reminded me not to forget my passport.
لا تنس إطفاء الأضواء.,Don't forget to turn off the light.
هل نسيت شيئا؟,Did you forget anything?
غالبا ما ينسى وعوده.,He will often forget his promise.
لن أنس أبدا هذه الحادثة.,I'll never forget this incident.
لم لا تنس الأمر؟,Why don't you just forget it?
كيف نسيت ذلك؟,How could anyone forget it?
سوف تنساني يوما ما.,You'll forget about me someday.
لا تنس هذه.,Don't forget these.
كيف وصل بهم الأمر للنّسيان؟,How could they forget?
سأكرّر كي لا تنسى ذلك.,I will repeat so that you will not forget it.
ألم تنس شيئا؟,Aren't you forgetting one thing?
أنا دائما ما أنسى أسماء النّاس.,I'm constantly forgetting people's names.
ربّما ينبغي أن ننسى الأمر.,Maybe we should forget it.
أنا أنسى إسمه.,I forget his name.
لا تنس أن تقدّم إكراميّة للنّادل.,Don't forget to tip the waiter.
هو قادر على نسيان وعده.,He's apt to forget his promise.
لا تنس!,Do not forget!
هذا شيء لن أنساه.,It's something I'll never forget.
الذين ينسون كل شيء سعداء.,Those who forget everything are happy.
دائما ما أنسى أسماء النّاس.,I always forget people's names.
أكاد أنسى أين أنا.,I almost forgot where I was.
لا نتس إغلاق البوّابة.,Don't forget to shut the gate.
لم أكن أعتقد أنّك ستنسى ذلك.,I didn't think you'd forget to do that.
لا تنس معطفك!,Don't forget your coat!
لقد نسيت شيئا، أليس كذلك؟,"You're forgetting something, aren't you?"
نحن نسامح الخيانة لكن لا ننساها.,"We forgive infidelities, but we don't forget."
ماذا نسيت أن أكتبه؟,What did I forget to write?
لا ينبغي أن ننسى ذلك أبدا.,We should never forget it.
